vid_title,artist_name,lp_name,score,genre,order_of_reviews
The Hives - The Death of Randy Fitzsimmons ALBUM REVIEW,The Hives,The Death of Randy Fitzsimmons,7,GARAGE PUNK,1000
Trippie Redd - A Love Letter to You 5 ,Trippie Redd,A Love Letter to You 5,4,"EMO TRAP, ALTERNATIVE POP",999
Noname - Sundial ALBUM REVIEW,Noname,Sundial,5,"CONSCIOUS HIP HOP, JAZZ RAP",998
Amaarae - Fountain Baby ALBUM REVIEW,Amaarae,Fountain Baby,9,"ALTERNATIVE R&B, AFROBEATS",997
Snooper - Super Sn​õ​õ​per ALBUM REVIEW,Snooper,Super Sn​õ​õ​per,8,ZANY GARAGE PUNK,996
George Clanton - Ooh Rap I Ya ALBUM REVIEW,George Clanton,Ooh Rap I Ya,8,"HYPNAGOGIC POP, CHILLWAVE, ALTERNATIVE DANCE",995
Carly Rae Jepsen - The Loveliest Time ALBUM REVIEW,Carly Rae Jepsen,The Loveliest Time,6,DANCE POP,994
Post Malone - Austin ALBUM REVIEW,Post Malone,Austin,3,"ALTERNATIVE POP, SINGER-SONGWRITER",993
Travis Scott - Utopia ALBUM REVIEW,Travis Scott,Utopia,7,"ALTERNATIVE HIP HOP, PSYCHEDELIC TRAP",992
Blur - The Ballad of Darren ALBUM REVIEW,Blur,The Ballad of Darren,6,"INDIE ROCK, CHAMBER POP",991
Nas - Magic 2 ALBUM REVIEW,Nas,Magic 2,6,"BOOM BAP, TRAP RAP",990
Paris Texas - Mid Air ALBUM REVIEW,Paris Texas,Mid Air,3,"ALTERNATIVE HIP HOP, RAP ROCK, SYNTH PUNK",989
Greta Van Fleet - Starcatcher ALBUM REVIEW,Greta Van Fleet,Starcatcher,3,VAGUELY PSYCHEDELIC HARD ROCK,988
Barbie The Album SOUNDTRACK REVIEW,Barbie,Barbie The Album,6,POP,987
Jason Isbell and the 400 Unit - Weathervanes ALBUM REVIEW,Jason Isbell and the 400 Unit,Weathervanes,7,"COUNTRY ROCK, AMERICANA",986
Key Glock - Glockoma 2 ALBUM REVIEW,Key Glock,Glockoma 2,8,"TRAP RAP, MEMPHIS HIP HOP",985
Tainy - Data ALBUM REVIEW,Tainy,Data,7,"REGGAETON, LATIN TRAP",984
Dominic Fike - Sunburn ALBUM REVIEW,Dominic Fike,Sunburn,4,ALTERNATIVE POP,983
LUCKI - s*x m*ney dr*gs ALBUM REVIEW,LUCKI,s*x m*ney dr*gs,2,TRAP RAP,982
Young Thug - Business Is Business ALBUM REVIEW,Young Thug,Business Is Business,5,TRAP RAP,981
Sigur Rós - Átta ALBUM REVIEW,Sigur Rós,Átta,4,"AMBIENT POP, CHAMBER MUSIC",980
Killer Mike - MICHAEL ALBUM REVIEW,Killer Mike,MICHAEL,6,HIP HOP,979
Queens of the Stone Age - In Times New Roman... ALBUM REVIEW,Queens of the Stone Age,In Times New Roman...,6,DESERT ROCK,978
King Gizzard & The Lizard Wizard - PetroDragonic Apocalypse ALBUM REVIEW,King Gizzard & The Lizard Wizard,PetroDragonic Apocalypse,8,PSYCHEDELIC THRASH,977
Gunna - a Gift & a Curse ALBUM REVIEW,Gunna,a Gift & a Curse,1,TRAP RAP,976
McKinley Dixon - Beloved! Paradise! Jazz​!​? ALBUM REVIEW,McKinley Dixon,Beloved! Paradise! Jazz​!​?,9,"JAZZ RAP, ORCHESTRAL HIP HOP",975
Squid - O Monolith ALBUM REVIEW,Squid,O Monolith,8,"ART-PUNK, POST-ROCK",974
King Krule - Space Heavy ALBUM REVIEW,King Krule,Space Heavy,8,PSYCHEDELIC SLOWCORE,973
Janelle Monáe - The Age of Pleasure ALBUM REVIEW,Janelle Monáe,The Age of Pleasure,6,"R&B, REGGAE, POP RAP",972
Protomartyr - Formal Growth in the Desert ALBUM REVIEW,Protomartyr,Formal Growth in the Desert,6,"POST-PUNK, GOTHIC ROCK",971
Thantifaxath - Hive Mind Narcosis ALBUM REVIEW,Thantifaxath,Hive Mind Narcosis,8,PROGRESSIVE BLACK METAL,970
Foo Fighters - But Here We Are ALBUM REVIEW,Foo Fighters,But Here We Are,8,"ALTERNATIVE ROCK, SONGS OF MOURNING",969
Snow Strippers - April Mixtape 3,Snow Strippers,April Mixtape 3,8,ELECTROCLASH,968
AJJ - Disposable Everything ALBUM REVIEW,AJJ,Disposable Everything,6,INDIE ROCK,967
Lil Durk - Almost Healed ALBUM REVIEW,Lil Durk,Almost Healed,5,TRAP RAP,966
Jeromes Dream - The Gray In Between ALBUM REVIEW,Jeromes Dream,The Gray In Between,8,"SCREAMO, NOISE ROCK",965
Kesha - Gag Order ALBUM REVIEW,Kesha,Gag Order,7,"ALTERNATIVE POP, SINGER-SONGWRITER",964
Sleep Token - Take Me Back to Eden ALBUM REVIEW,Sleep Token,Take Me Back to Eden,2,ALTERNATIVE R&B METAL,963
Lonnie Holley - Oh Me Oh My ALBUM REVIEW,Lonnie Holley,Oh Me Oh My,9,AVANT-SOUL,962
Aminé & KAYTRANADA - KaytrAminé ALBUM REVIEW,Aminé & KAYTRANADA,KaytrAminé,5,"ALTERNATIVE HIP HOP, CHILL RAP",961
The Lemon Twigs - Everything Harmony ALBUM REVIEW,The Lemon Twigs,Everything Harmony,8,SOFT ROCK,960
Black Thought & El Michels Affair - Glorious Game ALBUM REVIEW,Black Thought & El Michels Affair,Glorious Game,7,JAZZ RAP,959
YoungBoy Never Broke Again - Richest Opp ALBUM REVIEW,YoungBoy Never Broke Again,Richest Opp,5,HARDCORE HIP HOP,958
